﻿Spotify URI,Track Name,Artist Name,Album Name,Disc Number,Track Number,Track Duration (ms),Added By,Added At,,,
spotify:track:10Nmj3JCNoMeBQ87uw5j8k,Dani California,Red Hot Chili Peppers,Stadium Arcadium,1,1,282160,spotify:user:wywymarsh,2019-07-03T15:41:56Z,,,
spotify:track:4alHo6RGd0D3OUbTPExTHN,Just What I Needed,The Cars,The Cars,1,3,225626,spotify:user:wywymarsh,2019-07-03T15:42:01Z,,,
spotify:track:3tZ4zv4UuenjJGSNUMfBNG,XanaX Damage,Future,SAVE ME,1,1,104013,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:7gn0MfkV4ZuMkqbPlmhIlx,Deadcrush,alt-J,RELAXER,1,5,231013,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:12YYFvwwuYiw010ONgfYlW,A Change Is Gonna Come,Greta Van Fleet,From The Fires,1,4,197080,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:1BfR5GMOgW0peHkPxrwf11,Safari Song,Greta Van Fleet,From The Fires,1,1,234600,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:3RNyGLgSvmVRZ7xKUp8Wgd,In the Summertime,Mungo Jerry,In the Summertime,1,1,211880,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:5bcTCxgc7xVfSaMV3RuVke,"Feels (feat. Pharrell Williams, Katy Perry & Big Sean)","Calvin Harris, Pharrell Williams, Katy Perry, Big Sean",Funk Wav Bounces Vol.1,1,8,223413,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:2KN0Kgfb15aNLR0p2J4pkr,Anthem,Greta Van Fleet,Anthem Of The Peaceful Army,1,10,281306,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:32BEasyNQgqXQJKoVa0fUw,Black Smoke Rising,Greta Van Fleet,From The Fires,1,8,259893,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:54DIzLw4LLxB3n1XiiQftU,Age Of Man,Greta Van Fleet,Anthem Of The Peaceful Army,1,1,366186,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:7aOor99o8NNLZYElOXlBG1,Highway Tune,Greta Van Fleet,From The Fires,1,5,180640,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:7c1Dar0pIAW7w5TzaGjt9t,Jane Says,Jane's Addiction,Nothing's Shocking,1,9,287000,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:0Ln5tJyLX5qusquBOtq7wf,Fire,Kasabian,West Ryder Pauper Lunatic Asylum,1,11,252279,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:1PXsUXSM3LF2XNSkmIldPb,Little Black Submarines,The Black Keys,El Camino,1,4,251266,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:3B4q6KbHbGV51HO3GznBFF,What I Got,Sublime,Sublime,1,2,170906,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:6VoIBz0VhCyz7OdEoRYDiA,Say It Ain't So,Weezer,Weezer,1,7,258826,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
spotify:track:2hnMS47jN0etwvFPzYk11f,Santeria,Sublime,Sublime,1,6,182746,spotify:user:wywymarsh,2019-07-03T17:58:33Z,,,
